"Colony" "Distance" "Mass" "Headwidth" "Headwidth..mm." "Size.class"
5 4 78 36 1.516 "35-39"
5 4 121 43 1.811 "40-43"
5 4 80 46 1.937 ">43"
5 4 83 42 1.768 "40-43"
5 4 111 41 1.726 "40-43"
5 4 110 44 1.853 ">43"
5 4 69 32 1.347 "30-34"
5 4 125 43 1.811 "40-43"
5 4 104 43 1.811 "40-43"
5 4 117 35 1.474 "35-39"
5 7 87 40 1.684 "40-43"
5 7 78 38 1.6 "35-39"
5 7 81 36 1.516 "35-39"
5 7 108 43 1.811 "40-43"
5 7 58 38 1.6 "35-39"
5 7 105 46 1.937 ">43"
5 7 63 37 1.558 "35-39"
5 7 109 41 1.726 "40-43"
5 7 86 42 1.768 "40-43"
5 7 125 45 1.895 ">43"
5 7 75 36 1.516 "35-39"
5 7 109 41 1.726 "40-43"
5 7 80 43 1.811 "40-43"
5 7 62 41 1.726 "40-43"
5 7 139 46 1.937 ">43"
5 7 92 43 1.811 "40-43"
5 7 100 45 1.895 ">43"
5 7 90 43 1.811 "40-43"
5 7 75 41 1.726 "40-43"
5 7 93 42 1.768 "40-43"
5 7 135 45 1.895 ">43"
5 7 132 43 1.811 "40-43"
5 7 84 41 1.726 "40-43"
